"schema","table","columns"
"observabilidad","auditoria_reinicio_mesa_ayuda","id_auditoria_reinicio_mesa_ayuda,id_tenant,id_empresa,id_usuario_afectado,id_usuario_administrador,motivo,ip_origen,agente_usuario,fecha_utc"
"observabilidad","error_aplicacion","id_error_aplicacion,fecha_utc,id_tenant,id_usuario,id_empresa,id_sesion_usuario,solicitud_id,endpoint,metodo_http,query_string,ip_origen,agente_usuario,tipo_error,mensaje_error,traza_error,mensaje_interno,traza_interna,origen_error,codigo_http"
"observabilidad","error_log","id_error_log,correlation_id,usuario,endpoint,mensaje_error,stacktrace,payload,fecha"
"observabilidad","evento_sistema","id_evento_sistema,correlation_id,tipo_evento,descripcion,usuario,fecha"
"observabilidad","operacion_api_log","id_operacion_api_log,correlation_id,endpoint,metodo_http,usuario,codigo_http,duracion_ms,ip,fecha,id_tenant"
"organizacion","empresa","id_empresa,id_tenant,codigo,nombre,nombre_legal,id_tipo_empresa,id_estado_empresa,identificacion_fiscal,moneda_base,zona_horaria,activo,creado_utc,actualizado_utc,version_fila"
"organizacion","grupo_empresarial","id_grupo_empresarial,id_tenant,codigo,nombre,descripcion,activo,creado_utc,actualizado_utc,version_fila"
"organizacion","grupo_empresarial_empresa","id_grupo_empresarial,id_empresa,activo,creado_utc"
"organizacion","relacion_empresa","id_relacion_empresa,id_tenant,id_empresa_origen,id_empresa_destino,id_tipo_relacion_empresa,fecha_inicio_utc,fecha_fin_utc,observacion,activo,creado_utc,actualizado_utc"
"organizacion","unidad_organizativa","id_unidad_organizativa,id_tenant,id_empresa,id_tipo_unidad_organizativa,id_unidad_padre,codigo,nombre,nivel_jerarquia,ruta_jerarquia,es_hoja,activo,creado_utc,actualizado_utc,version_fila"
"plataforma","bitacora_instalacion","id_bitacora_instalacion,componente,accion,estado,detalle,iniciado_utc,finalizado_utc"
"plataforma","categoria_configuracion","id_categoria_configuracion,codigo,nombre,descripcion"
"plataforma","configuracion_empresa","id_configuracion_empresa,id_empresa,id_parametro_configuracion,valor,fecha_creacion"
"plataforma","db_migration_history","migration_id,script_name,checksum_sha256,applied_utc,applied_by"
"plataforma","feature_flag","id_feature,codigo,descripcion"
"plataforma","integracion_externa","id_integracion,codigo,nombre,endpoint,activo"
"plataforma","job_sistema","id_job,codigo,nombre,cron,activo"
"plataforma","job_sistema_ejecucion","id_ejecucion,id_job,fecha_inicio,fecha_fin,estado,mensaje"
"plataforma","modulo","id_modulo,codigo,nombre,descripcion,orden"
"plataforma","notificacion","id_notificacion,id_usuario,titulo,mensaje,leida,fecha_creacion"
"plataforma","parametro_configuracion","id_parametro_configuracion,id_categoria_configuracion,codigo,descripcion,tipo_valor,valor_defecto"
"plataforma","tenant","id_tenant,codigo,nombre,descripcion,dominio_principal,activo,creado_utc,actualizado_utc,version_fila,es_entrenamiento"
"plataforma","tenant_feature","id_tenant_feature,id_tenant,id_feature,activo"
"plataforma","version_esquema","id_version_esquema,componente,version_codigo,checksum,instalado_por,instalado_utc,notas"
